,Star_name,Distance,Mass,Radius
2,LHS 102BC,,,
14,2MASS J00034227-2822410,,,
31,2MASS J02511327+0047364,,,
117,TWA 27A,,,
118,TWA 27B,,,
177,2MASS J14112131-2119503,,,
26,2MASS J02103857-3015313,101,15,1.53
129,2MASS J13204427+0409045,101,67,1.01
194,WISE 0038+8405,101.8,,
67,2MASS J06085283-2753583,102,38,1.51
273,WISE 1147-2040,102,,
140,CFBDSIR 1458+10A,104,11.1,1.5
141,CFBDSIR 1458+10B,104,9,1.3
168,2MASS J20004841-7523070,105,25,1.88
215,WISE 0316+4307,106.3,,
314,WISE 1830+4542,107,,
99,2MASSI J1017075+130839 [de],108,,
171,2MASSW J2101154+175658,108,,
288,WISE 1506+7027,11.1,,
157,2MASS J16262034+3925190 [de],110,71,1.03
25,SDSS J020742.48+000056.2 [de],111,47,0.97
350,WISEA 1101+5400,111,,
174,HB 2124-4228,113,94,1.21
161,2MASSI J1726000+153819,114,24,1.40
124,2MASSW J1239272+551537 [de],119,,
32,Teegarden's star,12.578,80,1.27
351,2M1510,120,40 + 39 + ?,
115,2MASS J11544223-3400390 [de],129,37,1.50
104,DEN 1048-3956,13.15,77,1.07
75,UGPS J072227.51-054031.2,13.4,26,0.98
20,2MASS J01415823-4633574 [de],130,20,1.61
48,DENIS-P J035726.9-441730 [de],130,,
8,2MASS J00332386-1521309 [de],131,29,1.43
315,WISE 1841+7000,131.1,,
113,TWA 26,137,30,2.20
166,2MASSW J1841086+311727,138,67,1.01
53,2MASS J04362788-4114465,142,39,1.97
198,WISE 0106+1518,142.9,,
4,2MASS J00250365+4759191AB,143,,
185,2MASS J23225299-6151275,148,17,1.59
134,SDSS J141659.78+500626.4 [de],149,59,0.99
28,2MASS J02411151-0326587 [de],152,27,1.41
179,2MASSW J2208136+292121,154,27,1.41
27,2MASS J02340093-6442068,155,20,1.62
82,DENIS J081730.0-615520,16.1,44,0.94
35,DEN 0255-4700,16.2,80,0.97
299,WISE 1639-6847,16.3,,
19,2MASSI J0117474-340325 [de],163,20,1.62
109,Cha 110913-773444,163,8,1.8
